id,Career,Skills
376ce7b48d0a4bec8369c2eba3916300,Data Science," numpy,  scipy,  scikit-learn,  matplotlib),  Sql,  Java,  JavaScript/JQuery. * Machine learning: Regression,  SVM,  Naive Bayes,  KNN,  Random Forest,  Decision Trees,  Boosting techniques,  Cluster Analysis,  Word Embedding,  Sentiment Analysis,  Natural Language processing,  Dimensionality reduction,  Topic Modelling (LDA,  NMF),  PCA & Neural Nets. * Database Visualizations: Mysql,  SqlServer,  Cassandra,  Hbase,  ElasticSearch D3.js,  DC.js,  Plotly,  kibana,  matplotlib,  ggplot,  Tableau. * Others: Regular Expression,  HTML,  CSS"
978e348a584046639b003877409f6120," .NET Core (ASP.NET, C#) ",".NET, C#, ASP.NET"
a386dc84c3544407bae7b36dba4bd696," .Net Dev (C#,ASP.NET,MVC)",".NET, C#, ASP.NET"
344568d418204fbfb68014e7e7c1a6e6,Junior ReactJS Development,"ReactJS, PHP"
c1a8d4bebfb449bca84168ceac1430be, Quality Assurance Engineering (Tester),"QA, QC, English, Tester"
b5f3888ddb9e40acbacaf3285d669626, Backend Development (Java),"Java, PHP, .NET"
d2c5c938489c4b728bea7c566cb34fa7, Backend Java Development (Signon ),"Java, J2EE, Spring"
7d31ff5ebc6040b6a81b1a58d6547a2e," Database Engineering (Oracle, SQL)","Oracle, Database, SQL"
231891cfef4f4c9694d6fccb017eb213, DevOps Cloud Engineering,"DevOps, Cloud"
6bb42b91df2b4b9991c908e48dd6e16f, Frontend (JavaScript/CSS/HTML5),"HTML5, CSS, JavaScript"
be3906d843e64e6d8d5dd05c33b1971a, Fullstack (Python/ReactJS),"Python, Django, ReactJS"
17bc148131d9469f818b0d98d80a1d2c, Fullstack Dev (JavaScript),"JavaScript, NodeJS, ReactJS"
a6a232a873694726821eb9c3b8cfea54, Games QC (Tester),"Tester, Games, QA, QC"
89c8e801019d43e084f7a667797fec82," Golang Development (Drupal, AWS)","Golang, Drupal, AWS"
763ef594155546e18a8f7bdcc7fc2c23, Java Development,"Java, Spring, Angular"
affa2c94b47c42babce446b702c8f473, Java Development,"Java, English, Spring"
a18c0e8015ce401383b9e283a8440a1b, Mobile QA QC Engineering (Tester),"QA, QC, English, Tester"
3ce9c3e6e30a402a9c25e543c6bdec2f, NodeJS/ Golang Dev ,"NodeJS, Database, Golang"
4e4e3b5a267043a3b7df2be998677937," PHP Development (HTML5, JavaScript)","PHP, HTML5, JavaScript"
79db295cc02c4517aa3235635419ceff," PHP Developments (MySQL, OOP)","PHP, MySQL, OOP"
682d08dbf6094e329973fadfc1424a9a, Product Owner ,"Product, Management, Project, Management"
8b0686719e0f4a579e0010ca8e07edaf," QC Engineering (Tester, QA QC) ","Tester, English, QA, QC"
2e75e148d3704cbb910359b9960a34f3, React Native / Flutter Development,"React, Native, Swift, Flutter"
2f7179af96cf44c191ebb43b5dbbc7a0, React Native + ReactJS,"ReactJS, JavaScript, React, Native"
de58f7f9c02b45dc83d79cd8452c8001, React/Ruby/Python Software Dev,"ReactJS, Python, Ruby"
2be03132b8bc45d58c15d77b9f183cf0, ReactJS/.NET/Python/Java Development,"ReactJS, Python, .NET"
c861f85172e745c7876c2768a1a7f16f, Senior Devops (AWS),"DevOps, AWS"
2432159c270f42fd811e94c384ce2eaa, Senior Ruby on Rails  ,"Ruby, Ruby, on, Rails, AWS"
72081222b8a54a4eb4074a96971a62ab, Software Engineering (Core Banking),"Python, Java, Spring"
2089d1b22dd34ecdb0c947ddc9a84299," Software Engineering (NodeJS, ReactJS, Go)","NodeJS, ReactJS, Golang"
d2a26680973a4275a03de61e04a995c6, Sr Java Backend Development >26,"Java, JavaScript, Spring"
9ea7bba515d84a11b7662541c8232998, Team Leader ( .Net / Java / Nodejs ),"Team, Leader, NodeJS, Java"
4f285db4a169436ab1875031fbcb9f4c, Test Engineering (QA/QC/Tester),"QA, QC, English, Tester"
afc529d3a904469daca67cecd0474ad0, UIUX Designer,"UIUX, HTML5, Designer"
968db299005049d99c8d11fe20442586, Unity3D Development,"Unity, C#, Flutter"
