career,course,universities,job_titles,skills
,Bachelor in Technology: Food Technology,"Jomo Kenyatta University(JKUAT), Technical University of Mombasa","Food technologist,  New product development,  auditor, Marketer & Technical Liaison,  Quality Assurance Manager Haccp Team Leader,  New Product Developer Technologist,  Food Technologist,  Quality Controller","Microbiology,  microsoft powerpoint,  microsoft office,  microsoft excel,  microsoft project management,  Microsoft word,  Outlook,  Internet explorer,  Marketing/Sales"
,Bachelor in Economics,"Jomo Kenyatta University(JKUAT), Kenyatta University, Strathmore University, University of Eastern Africa Baraton","Senior Developer,  Senior Developer,  Senior Developer,  Senior Developer SNR Developer,  Senior Developer","MVC5,  JQuery,  C#,  BootStrap,  REST Services,  EntityFrameWork 6,  SQL Databse Development,  SSRS,  SSIS"
,Bachelor of Science  in Computer Systems,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University","Web Developer,  Application Developer,  C# Developer","C# Developer,  MYSQL,  PHP,  javascript,  CSS3,  HTML5,  wordpress,  AJAX,  RDBMS"
,Advanced Diploma In Computer Science,"Gretsa University, St. Pauls University, Uzima College, Zetech University, University of Kabianga, Muranga University, South Eastern Kenya University",,"Programming,  Technical Support"
,Mobile development,"eMobilis Training Institute, Moringa School",Analyst,"Java,  delphi,  Excel,  excel,  Bloomberg"
,Bachelor in Technology,,"Software Tester,  Business Analyst,  Developer","communication skills,  Microsoft office,  MVC,  JavaScript,  css,  codeigniter,  html,  PHP,  Microsoft excel"
,Architecting on AWS (Associate) ,,"Software Architect,  Python Developer,  Senior Python Developer, Senior Developer,  Senior Developer,  Developer,  Developer,  Web Development,  System Administrator,  Apprentice Toolmaker","PHP,  SQL,  Javascript,  Linux,  Python,  PostgreSQL,  AWS,  Embedded Linux,  GIT"
,Honours Bachelor of Science in statistics,,"Analyst,  Data Analyst,  Test Analyst,  Test Management, Academic and Research Assistant,  Assistant Statistical Officer","Test Management,  sas,  Open Office,  Microsoft Office,  Project Management,  SQL"
,Technical Support,,"Technical Support,  Matric","Emails,  reviews,  files,  Typing,  Personally to adapt,  Ambitious,  Computer literacy"
,Business Analyst,,"Business development manager, Sales and Marketing Director,  Mid West Regional Sales Director,  Sales Consultant,  Junior Sales Consultant","Word,  Excel,  Power Point"
,Oracle 10g Database Administrator,,"Database Developer,  Oracle Apex Developer,  Database Analyst,  Oracle Apex Developer,  Database Analyst, Technician,  Imaging Technician,  Technician,  Host","Oracle Pl/Sql,  Database Desing,  Implementation And Management,  Oracle Sql,  Computer Skills (Hardware,  Software,  Networking),  Microsoft Sql Server,  Graphic Design"
,Diploma in Software Development ,,Software developer,"Analitcal skills,  Mentoring new developers,  Problem sloving,  C#,  reporting,  MS SQL,  ssis,  Training,  Testing"
,Bachelor of Science  Computer Science And Information Systems,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University","java programmer,  Computer Science","Java Developer,  Java Programming(SE & EE),  Mysql,  Network connectivity, FTP, TCP,  css,  html,  vaadin"
,Bachelor in Technology Degree - ICT,,"Software Developer,  Business Analyst,  Business Systems Analyst,  Software Architect","ASP .NET \uf06c,  java,  Oracle \uf06c,  Gradle \uf06c,  Microsoft Office,  CSS,  Visual paradigm,  Microsoft Visio"
,National Diploma Computer Science & Systems Engineering,"Gretsa University, St. Pauls University, Uzima College, Zetech University, University of Kabianga, Muranga University, South Eastern Kenya University",Senior Developer,"Software Development,  Data,  Project management,  Analytics,  SQL"
,Bachelor of Science  Infomatics,,"junior software developer,  Intermediate Developer","Java,  VBA,  C#,  Javascript,  Excel,  html,  MVC,  css,  .NET"
,Bachelor of Science,,Software Developer,"SQL,  Pl/Sql,  Oracle,  Pro C,  PHP,  Unix,  Python,  Borland C++"
,Certified ScrumMaster (CSM),,"BI Consultant,  BI Architect, BI Developer,  BI Consultant,  BI Specialist,  Senior Business Process Analyst","Detailed,  quick learner,  methodical,  analytical"
,Project Management,,"Technician,  Call Center,  Consultant,  Junior Developer and Technical Support","Microsoft Office,  Computer Hardware,  Troubleshooting,  Configuration Management,  Database Administration,  Backup,  Operating Systems,  Problem Solving,  Networking"
Data Science,Diploma in Investment Analysis and Portfolio Analysis,,"Developer,  Analyst Programmer,  Analyst,  Team Lead, Technical Consultant,  Software Engineer,  Analyst Programmer,  Trainee Programmer,  Computer Science Course Tutor,  Computer Science Course Tutor Java Course","SVN,  .NET,  SQL,  Cobol,  jcl,  Java,  Linux,  Jruby,  C#"
,Bachelor of Science  Elec Eng (Telecom),,Electrical Engineer in Telecommunications,"Java,  C++,  3g/Hspa/Hspa+,  Matlab,  4g/Lte/Wimax,  Project Management,  Verilog,  Vhdl,  Process Design"
,Certficate,,,Abap Development Design And Analysis
,Marketing Management,,"Sales Representative,  Sales Consultant,  Public Relations Officer,  Account Executive,  Key Account Manager,  Practice Manager,  Clinic Manager,  Manager, Photographer,  Sales & Marketing Representative,  Locum nursing positions,  Fundraising Coordinator,  Fundraiser & PRO,  Veterinary Nurse,  Sales Representative and Area Supervisor Western Cape,  Sales Representative Western Cape","Pharmaceutical,  Practice Management,  Clinic Management,  Public Relations,  Marketing,  Key Account Management,  Sales,  Veterinary,  Dietician"
,Togaf Cerfified,,"Executive/enterprise architecture, Solutions Architect,  Director New Development Software,  Senior Developer R&D,  Software Developer","Presentation Skills,  Microsoft Sql Server,  Taxation,  Financial, Equity, Insurance, Pension/Provident Sys,  Management,  Visual Basic For Applications (Office Automation)"
,Bachelor of Commerce (Information Systems) Incomplete,,Programmer,"CSS,  Xhtml,  Asp.Net,  XML,  C#,  ASP,  SQL,  XSL,  Javascript"
,Bachelor of Engineering,,"support,  c#,  sql,  software","BIZTALK,  C#,  CUSTOMER SERVICE,  BI,  SSIS,  MVC,  SQL,  SSRS"
,Project Management,,"Technical Manager,  Voice Specialist,  Intermediate Java Developer,  IVR Developer,  Voice,  Telecommunication, Voice Specialist,  System Developer,  Voice Specialist,  Junior Field Engineer","IVR,  Nuance Product,  java,  communication skills,  Voice Loggers,  Manager,  Avaya PABX,  Specialist,  Technical Support"
,Nc Multimedia,,"Sales Manager,  Area Manager,  Key Account Manager,  Regional Sales Manager,  Sales representative, Account Developer Still Beverages,  Brand Abassador Supervisor","MS word,  Power point and MS Excell,  MS PROJECTS,  Communication,  Interpersonal,  Managerial,  Photoshop,  Telephonic Skills and leader ship skills"
,Hons Bachelor of Science  It,,"Software Developer,  .NET Developer,  Team Lead,  Solutions Architect,  Senior Software Engineer, Computer Operations and Card Monitoring Clerk,  Promotional Sales Marketing and Demonstrations","Product Owner,  solutions architect,  Team Lead,  sql,  asp .NET winforms,  .NET,  leadership,  analysis,  architect"
