Course,Institutions
Bachelor in Technology: Food Technology,"Jomo Kenyatta University(JKUAT), Technical University of Mombasa"
Bachelor in Economics,"Jomo Kenyatta University(JKUAT), Kenyatta University, Strathmore University, University of Eastern Africa Baraton"
Bachelor of Science  in Computer Systems,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Advanced Diploma In Computer Science,"Gretsa University, St. Pauls University, Uzima College, Zetech University, University of Kabianga, Muranga University, South Eastern Kenya University"
Mobile Development,"eMobilis Training Institute, Moringa School"
Bachelor in Technology,
Architecting on AWS (Associate) ,
Bachelor of Science in statistics,
Business Analyst,
Oracle 10g Database Administrator,
Diploma in Software Development ,
Bachelor of Science  Computer Science And Information Systems,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Bachelor in Technology Degree - ICT,
National Diploma Computer Science & Systems Engineering,"Gretsa University, St. Pauls University, Uzima College, Zetech University, University of Kabianga, Muranga University, South Eastern Kenya University"
Bachelor of Science  Informatics,
Certified ScrumMaster (CSM),
Project Management,
Diploma in Investment Analysis and Portfolio Analysis,
Bachelor of Science  Electrical Engineering (Telecom),
Marketing Management,
Togaf Cerfified,
Bachelor of Commerce (Information Systems) Incomplete,
Bachelor of Engineering,
Project Management,
Multimedia Design,
Bachelor of Science  Information Technology,
Bachelor of Commerce Human Resource,
B.Com Economics,
Attended Leadership Development Program (Nqf 5),
Professional Project Management,
system development level 5,
MSc. Information Systems Management,
Marketing,
Bachelor of Science  Computer Science honors,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Paul's University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Cobol Programming,
Strategic & Tactical Sales,
Bachelor of Arts: Communication Science,
B Soc Sci (Information Technology),"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor in Technology: Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Certified Business Analysis Professional(CBAP),
Bachelor of Science  (Hons) Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Bachelor of Science(Computers),
Oracle Database 11g Administrator Certified Professional,
Master In Business Administration,
Master In Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor in Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Certificate Of Competency,
Bachelor of Science Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Computer System Engineering,
Software Engineer Degree,
Post-Graduation in Production Engineering,
Bachelors degree Computer Engineering,
Certificated Computer Technician,
SAP Certified Technology Associate - SAP Authorization and,
Bachelor of Technology,
Bachelor of Information Systems Multimedia,
Microsoft Certified Solution Developer,
Business Analysis,
Bachelor of Science  Hons Degree,
Bachelor of Science  (Hons) Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
"enterprise Java Architech In IbmS Websphere""",
National Diploma Information and technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelors Degree of Computing,
Bachelor of Science - Applied Mathematics & Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Bachelor in Technology Degree,
Diploma in Software Development,
Masters of Science Computer Engineering,
Bachelor of Science  Mathematical Modelling,
Bachelor of Engineering (Hon) Industrial & Manufacturing Engineering,
Bachelor Of Science,
Bachelor of Science . Hons Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Bachelor in Technology Information Technologt,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor of Science (Computer Science),"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Bachelor in Technology(Computer Science),"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
B.Com Financial Management,
