Course,Job_Titles
 Bachelor of Science  Hons Computing,"Business Analyst,  Software Developer,  Software Tester,  Software Developer,  Software Tester, Electoral Officer"
 Bachelor of Science in Information Technology,Senior Manager
 Bachelor of Technology,"Sql developer,  BI developer,  Business analyst"
(MCSA: SQL Server 2016),"BI Developer,  SQL Developer,  Data Analyst,  ETL Developer,  SQL Developer,  SQL DBA,  ETL Developer, Telecommunication Technician,  Pharmasist Assistant,  Support Technician"
12grade,"Senior Programmer and Consultant,  Senior Technical Coordinator,  Company Manager Developer"
2 Day Course In Javascript Fundamentals,"Front-end architect,  UX Designer,  User Interface Architect,  Front-End Developer,  Front End Web Developer,  Web Developer,  Web Designer, Design Assistant,  Entrepreneur Owner"
20332B Advanced Solutions of Microsoft SharePoint Server 2013,"C# Developer,  C# Programmer,  C# Web Developer,  C#.NET Developer,  C# .NET Developer,  Sharepoint Developer"
2310 - Developing Ms Asp.Net Web Applications Usin,Teletypist
3 Year Bachelor Of Science Degree In Computer Sci,"Development Manager,  C# Architect, Software Developer,  Lead Software Developer,  Software Developer,  Software Developer,  Computer Technician"
3ds Max Advanced Modeling & Materials,3D Artist
3rd Year,"C# Developer,  .Net  Developer,  Programmer,  .Net  Developer,  Programmer, Tutor,  Area Manager Basketball Couch & Life Skills Facil,  Sales Assistant & Cashier"
50064a Advanced Sharepoint Development,"SQL developer,  SQL DBA,  Web Developer,  C#,  VB .Net Developer,  BI Analyst,  Reporting Analyst,  System Support,  Systems Analyst,  Web Developer, SNR Web Developer,  Developer,  Lead Developer,  Web Developer,  Web Applications Developer"
70-461 Certification,"VB .NET programmer,  java,  web designer (html,  xml,  java,  javascript),  databases(sql,  oracle); analysis (information systems),  sql administration,  databases(sql"
A+,"Senior PC Technician,  PC Technician,  PC Technician"
Abinitio,"Management MI / BI,  Manager Data Analyst,  Analytical Developer,  SAS Developer, Systems Custodian,  Oracle Discoverer Balance Scorecard Developer,  Systems Analyst Systems Architect"
