Course,Skills
Bachelor in Technology: Food Technology,"Microbiology,  microsoft powerpoint,  microsoft office,  microsoft excel,  microsoft project management,  Microsoft word,  Outlook,  Internet explorer,  Marketing/Sales"
Bachelor in Economics,"MVC5,  JQuery,  C#,  BootStrap,  REST Services,  EntityFrameWork 6,  SQL Databse Development,  SSRS,  SSIS"
Bachelor of Science  in Computer Systems,"C# Developer,  MYSQL,  PHP,  javascript,  CSS3,  HTML5,  wordpress,  AJAX,  RDBMS"
Advanced Diploma In Computer Science,"Programming,  Technical Support"
Mobile Development,"Java,  delphi,  Excel,  excel,  Bloomberg"
Bachelor in Technology,"communication skills,  Microsoft office,  MVC,  JavaScript,  CSS,  codeigniter,  html,  PHP,  Microsoft excel"
Architecting on AWS (Associate) ,"PHP,  SQL,  Javascript,  Linux,  Python,  PostgreSQL,  AWS,  Embedded Linux,  GIT"
Bachelor of Science in statistics,"Test Management,  sas,  Open Office,  Microsoft Office,  Project Management,  SQL"
Business Analyst,"Word,  Excel,  Power Point"
Oracle 10g Database Administrator,"Oracle Pl/Sql,  Database Desing,  Implementation And Management,  Oracle Sql,  Computer Skills (Hardware,  Software,  Networking),  Microsoft Sql Server,  Graphic Design"
Diploma in Software Development ,"Analitcal skills,  Mentoring new developers,  Problem sloving,  C#,  reporting,  MS SQL,  ssis,  Training,  Testing"
Bachelor of Science  Computer Science And Information Systems,"Java Developer,  Java Programming(SE & EE),  Mysql,  Network connectivity, FTP, TCP,  CSS,  html,  vaadin"
Bachelor in Technology Degree - ICT,"ASP .NET \uf06c,  java,  Oracle \uf06c,  Gradle \uf06c,  Microsoft Office,  CSS,  Visual paradigm,  Microsoft Visio"
National Diploma Computer Science & Systems Engineering,"Software Development,  Data,  Project management,  Analytics,  SQL"
Bachelor of Science  Informatics,"Java,  VBA,  C#,  Javascript,  Excel,  html,  MVC,  CSS,  .NET"
Certified ScrumMaster (CSM),"Detailed,  quick learner,  methodical,  analytical"
Project Management,"Microsoft Office,  Computer Hardware,  Troubleshooting,  Configuration Management,  Database Administration,  Backup,  Operating Systems,  Problem Solving,  Networking"
Diploma in Investment Analysis and Portfolio Analysis,"SVN,  .NET,  SQL,  Cobol,  jcl,  Java,  Linux,  Jruby,  C#"
Bachelor of Science  Electrical Engineering (Telecom),"Java,  C++,  3g/Hspa/Hspa+,  Matlab,  4g/Lte/Wimax,  Project Management,  Verilog,  Vhdl,  Process Design"
Marketing Management,"Pharmaceutical,  Practice Management,  Clinic Management,  Public Relations,  Marketing,  Key Account Management,  Sales,  Veterinary,  Dietician"
Togaf Cerfified,"Presentation Skills,  Microsoft Sql Server,  Taxation,  Financial, Equity, Insurance, Pension/Provident Sys,  Management,  Visual Basic For Applications (Office Automation)"
Bachelor of Commerce (Information Systems) Incomplete,"CSS,  Xhtml,  Asp.Net,  XML,  C#,  ASP,  SQL,  XSL,  Javascript"
Bachelor of Engineering,"BizTalk  C#,  Customer Service,  BI,  SSIS,  MVC,  SQL,  SSRS"
