University,Course
Africa Nazarene University,PhD in Religion
Africa Nazarene University,Doctor of Ministry
Africa Nazarene University,Masters of Education (M.Ed)
Africa Nazarene University,Master of Business Administration (M.B.A)
Africa Nazarene University,Master of Arts in Monitoring & Evaluation
Africa Nazarene University,"Master of Science Governance, Peace and Security Studies"
Africa Nazarene University,Master of Science Environment and Natural Resource Management
Africa Nazarene University,Master of Arts in Religion
Africa Nazarene University,Master of Science in Applied IT
Africa Nazarene University,Master of Arts in Counseling Psychology
Africa Nazarene University,Post Graduate Diploma In Monitoring And Evaluation
Africa Nazarene University,Post-Graduate Diploma in Peace and Conflict Studies
Africa Nazarene University,Bachelor of Computer Science
Africa Nazarene University,Bachelor of Laws (LLB)
Africa Nazarene University,Bachelor of Business and Information Technology
Africa Nazarene University,Bachelor of International Business Management
Africa Nazarene University,Bachelor of Science in Procurement and Supply Chain Management
Africa Nazarene University,Bachelor of Commerce
Africa Nazarene University,Bachelor of Mass Communication
Africa Nazarene University,Bachelor of Science Environment and Natural Resource Management
Africa Nazarene University,Bachelor of Theology
Africa Nazarene University,Bachelor of Christian Ministry
Africa Nazarene University,Bachelor of Arts in Peace and Conflict Studies
Africa Nazarene University,Bachelor of Counseling Psychology
Africa Nazarene University,Bachelor of Education
Africa Nazarene University,Bachelor of Arts in Community Development
Africa Nazarene University,Bachelor of Arts in Criminal Justice & Security Studies
Africa Nazarene University,Diploma in Business Administration
Africa Nazarene University,Diploma in Purchasing & Supply Chain Management
Africa Nazarene University,Diploma in Peace & Conflict Resolution
Africa Nazarene University,Diploma in Public Relations
Africa Nazarene University,Diploma in Information Technology
Africa Nazarene University,Diploma in Education
Africa Nazarene University,Diploma in Criminology
Africa Nazarene University,Diploma in Mobile Computing
Africa Nazarene University,Diploma in Christian Ministry
Africa Nazarene University,Diploma in Counseling Psychology
Africa Nazarene University,Diploma in Community Development
Africa Nazarene University,Diploma in Agri-Business and Natural Resource Management
Africa Nazarene University,Diploma in Human Resource Management
Africa Nazarene University,Diploma in Nutrition and Dietetics
Africa Nazarene University,Certificate in Business Management
Africa Nazarene University,Certificate in Information Technology
Africa Nazarene University,Certificate in Peace and Conflict Studies
Africa Nazarene University,Certificate in Monitoring & Evaluation
Africa Nazarene University,Certificate in Christian Ministry
Africa Nazarene University,Certificate in Research Methodology
Africa Nazarene University,Certificate in Audio Production
Africa Nazarene University,Certificate in Computer Application Packages
Africa Nazarene University,"Cisco Certified Network Associate, level 1-4"
Africa Nazarene University,Corporate BPO (Business Procing & Outsourcing)
Africa Nazarene University,Executive Course in Monitoring & Evaluation
Africa Nazarene University,Environmental Impact Assessment and Environmental Audit
Africa International University,DIPLOMA IN EDUCATION
Africa International University,DIPLOMA IN PROCUREMENT MANAGEMENT
Africa International University,DIPLOMA IN COMMUNITY DEVELOPMENT
Africa International University,DIPLOMA IN BUSINESS MANAGEMENT
Africa International University,DIPLOMA IN HUMAN RESOURCE MANAGEMENT
Africa International University,DIPLOMA IN THEOLOGY
Africa International University,DIPLOMA IN COUNSELING AND PSYCHOLOGY
Africa International University,BACHELOR OF EDUCATION (SECONDARY AND PRIMARY OPTION)
Africa International University,BACHELOR OF ARTS IN PSYCHOLOGY AND COUNSELLING
Africa International University,BACHELOR OF ARTS IN DEVELOPMENT STUDIES
